180096;The Year of Miracle;Fergus Hume;Nov;2018;http://gutenberg.net.au/ebooks18/1800961h.html
180095;Rim of the Desert;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1800951h.html
180094;Laughing Bill Hyde;Rex Beach;Oct;2018;http://gutenberg.net.au/ebooks18/1800941h.html
180093;Oh;Shoot!, Rex Beach;Oct;2018;http://gutenberg.net.au/ebooks18/1800931h.html
180092;The Pink Shop;Fergus Hume;Oct;2018;http://gutenberg.net.au/ebooks18/1800921h.html
180091;The Peacock of Jewels;Fergus Hume;Oct;2018;http://gutenberg.net.au/ebooks18/1800911h.html
180090;The Mikado Jewel;Fergus Hume;Oct;2018;http://gutenberg.net.au/ebooks18/1800901h.html
180089;North of Fifty-Three;Rex Beach;Oct;2018;http://gutenberg.net.au/ebooks18/1800891h.html
180088;The Chinese Jar;Fergus Hume;Sep;2018;http://gutenberg.net.au/ebooks18/1800881h.html
180086;The Expedition of Captain Flick;Fergus Hume;Sep;2018;http://gutenberg.net.au/ebooks18/1800861h.html
180085;The Gordian Knot;Rafael Sabatini;Sep;2018;http://gutenberg.net.au/ebooks18/1800851h.html
180084;The Amethyst Cross;Fergus Hume;Sep;2018;http://gutenberg.net.au/ebooks18/1800841h.html
180083;Turbulent Tales;Rafael Sabatini;Sep;2018;http://gutenberg.net.au/ebooks18/1800831h.html
180082;The Justice of the Duke;Rafael Sabatini;Sep;2018;http://gutenberg.net.au/ebooks18/1800821h.html
180081;The Devil's Mistress;by J. W. Brodie-Innes;Sep;2018;http://gutenberg.net.au/ebooks18/1800811h.html
180080;Morag the Seal;J. W. Brodie-Innes;Sep;2018;http://gutenberg.net.au/ebooks18/1800801h.html
180079;The Lost Parchment;Fergus Hume;Sep;2018;http://gutenberg.net.au/ebooks18/1800791h.html
180078;Miss Hurd: An Enigma;Anna Katharine Green;Sep;2018;http://gutenberg.net.au/ebooks18/1800781h.html
180077;Marked Personal;Anna Katharine Green;Sep;2018;http://gutenberg.net.au/ebooks18/1800771h.html
180076;The Sealed Message;Fergus Hume;Sep;2018;http://gutenberg.net.au/ebooks18/1800761h.html
180075;The Fascinating Stranger;Booth Tarkington;Sep;2018;http://gutenberg.net.au/ebooks18/1800751h.html
180074;Mount Desolation;Carlton Dawe;Sep;2018;http://gutenberg.net.au/ebooks18/1800741h.html
180073;The Ebony Bed Murder;Rufus H Gillmore;Aug;2018;http://gutenberg.net.au/ebooks18/1800731h.html
180072;Acme;John Galsworthy;Aug;2018;http://gutenberg.net.au/ebooks18/1800721h.html
180071;Runyon from First to Last;Damon Runyon;Aug;2018;http://gutenberg.net.au/ebooks18/1800711h.html
180070;The Purple Fern;Fergus Hume;Aug;2018;http://gutenberg.net.au/ebooks18/1800701h.html
180069;A Matter of Millions;Anna Katharine Green;Aug;2018;http://gutenberg.net.au/ebooks18/1800691h.html
180067;Doctor Izard;Anna Katharine Green;Jul;2018;http://gutenberg.net.au/ebooks18/1800671h.html
